admin1,lat,lon,country_code3,geonameid,place_name,feature_class,feature_code,doc_id,word,country_predicted,country_conf,continent,lcount
,21.0,57.0,OMN,286963,Sultanate of Oman,A,PCLI,27997,Oman,OMN,1.0,AS,4
,1.36667,103.8,SGP,1880251,Republic of Singapore,A,PCLI,27997,Singapore,SGP,1.0,AS,9
Texas,29.76328,-95.36327,USA,4699066,Houston,P,PPLA2,27997,Houston,USA,1.0,NA,7
California,39.76,-98.5,USA,6252001,United States,A,PCLI,27997,USA,USA,1.0,NA,3
Lower Silesian Voivodeship,51.1,17.03333,POL,3081368,Wrocław,P,PPLA,27997,Wroclaw,POL,1.0,EU,7
,52.0,20.0,POL,798544,Republic of Poland,A,PCLI,27997,Poland,POL,1.0,EU,6
Mexico City,19.42847,-99.12766,MEX,3530597,Mexico City,P,PPLC,27997,Mexico City,MEX,1.0,NA,10
,23.0,-102.0,MEX,3996063,Mexico,A,PCLI,27997,Mexico,MEX,1.0,NA,6
Arkansas,34.750370000000004,-92.50044,USA,4099753,Arkansas,A,ADM1,27997,Arkansas,USA,1.0,NA,8
Buenos Aires F.D.,-34.0,-64.0,ARG,3865483,Argentine Republic,A,PCLI,27997,Argentina,ARG,1.0,SA,9
,1.0,38.0,KEN,192950,Republic of Kenya,A,PCLI,27997,Kenya,KEN,1.0,AF,5
Queensland,-27.44573,153.02993999999995,AUS,7839562,Brisbane,A,ADM2,27997,Brisbane,AUS,0.999993085861206,OC,8
,-25.0,135.0,AUS,2077456,Commonwealth of Australia,A,PCLI,27997,Australia,AUS,1.0,OC,9
Moscow Oblast,55.81363,36.71631,RUS,524925,Moscow Oblast,A,ADM1,27997,Moscow,RUS,0.999993085861206,EU,6
Maryland,38.89511,-77.03637,USA,4140963,Washington,P,PPLC,27997,"Washington, DC",USA,1.0,NA,12
New York,43.00035,-75.4999,USA,5128638,New York,A,ADM1,27997,New York,USA,1.0,NA,7
Illinois,41.85003,-87.65005,USA,4887398,Chicago,P,PPLA2,27997,Chicago,USA,1.0,NA,7
Budapest,47.49801,19.03991,HUN,3054643,Budapest,P,PPLC,27997,Budapest,HUN,0.999993085861206,EU,8
,47.0,20.0,HUN,719819,Hungary,A,PCLI,27997,Hungary,HUN,1.0,EU,7
Florida,25.77427,-80.19366,USA,4164138,Miami,P,PPLA2,27997,Miami,USA,1.0,NA,5
,39.0,35.0,TUR,298795,Republic of Turkey,A,PCLI,27997,Turkey,TUR,1.0,AS,6
Maharashtra,19.12636,72.84897,IND,1270836,Mumbai Suburban,A,ADM2,27997,Mumbai,IND,1.0,AS,6
,22.0,79.0,IND,1269750,Republic of India,A,PCLI,27997,India,IND,0.9996029734611512,AS,5
Guangdong,22.53737000000001,114.1111,CHN,11000556,Grand Hyatt Hotel Shenzen,S,HTL,27997,Shenzen,CHN,0.9999996423721312,AS,7
Central Macedonia,40.62334,22.95369,GRC,8133841,Dimos Thessaloniki,A,ADM3,27997,Thessaloniki,GRC,1.0,EU,12
South Holland,51.88246,4.28784,NLD,2747890,Gemeente Rotterdam,A,ADM2,27997,Rotterdam,NLD,0.999993085861206,EU,9
,52.25,5.75,NLD,2750405,Kingdom of the Netherlands,A,PCLI,27997,Netherlands,NLD,0.9379822611808776,EU,11
Bucureşti,44.43225,26.10626,ROU,683506,Bucharest,P,PPLC,27997,Bucharest,ROU,1.0,EU,9
,46.0,25.0,ROU,798549,România,A,PCLI,27997,Romania,ROU,1.0,EU,7
,24.0,90.0,BGD,1210997,Bangladesh,A,PCLI,27997,Bangladesh,BGD,1.0,AS,10
NCT,28.70113,77.10154,IND,8335427,North West Delhi,A,ADM2,27997,Delhi,IND,0.999993085861206,AS,5
Tel Aviv,32.08088,34.780570000000004,ISR,293397,Tel Aviv,P,PPLA,27997,Tel-Aviv,ISR,0.999993085861206,AS,7
Tokyo,35.6895,139.69171,JPN,1850147,Tokyo,P,PPLC,27997,Tokyo,JPN,0.999993085861206,AS,5
