doc_id,Health system,All-cause mortality,Respiratory,Chronic,Infectious disease,WaSH,Food security,Child & maternal,Mental health,Occupational health,Mixed meteorological,Temperature,Extreme events & floods,Precipitation variability,Drought,Emissions,Unspecified climate
3414075,0.0446582101819001,3.0216886771901383e-05,0.0,0.0,0.0068272315503325924,0.0,0.0041099854713544945,0.04533800662655521,0.05220038354099125,0.0,0.0,0.0,0.0009394425921781005,0.031236557468004123,0.01137949052212671,8.042606104735644e-05,0.005508453946046126
3414097,0.013784169551751229,0.09637351836952117,0.003674762101945295,0.09382583299993807,0.0,0.0,6.506983259148604e-05,0.00270279241877761,0.0011077264473077944,0.0,0.02083006748290925,0.09340766853283115,0.0,0.01754216987955748,0.0,0.006885305921496644,0.0
3414152,0.0,0.0,0.006678644604041568,0.023657901283904575,0.12850346197308354,0.0,0.0,0.000680388726553341,0.0,0.0,0.011107318824013272,0.0006102272793885357,0.0012204227263828422,0.01832374261379235,0.0013883866948713923,0.0012010596875888868,0.0
3414223,0.03206798135698488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397855115411331,0.0,0.0,0.0,0.009789840792007898,0.0,0.0,0.0,0.041609372207484036
3414244,0.004755555601575431,0.008852256922379235,0.0,0.0055942019235373465,0.010440140495202865,0.0,0.0106651562550442,0.0,0.0,0.0,0.0,0.0,0.19190930759609381,0.0,0.0,0.0,0.00014799455600588752
3414247,7.507847407568141e-05,0.0,0.1536672828649863,0.0,0.005353500090145915,0.0,0.0,0.0,0.0,0.0,0.01981004105565721,0.0,0.007374529877392135,0.0,0.05745202811195162,0.028996331625653383,0.001051524169104926
3414255,0.0,0.0,0.0015291571362810123,0.0,0.004873485534993543,0.0,0.013437927576717832,0.0,1.1713643284937623e-06,0.0,0.0,0.0,4.297999552923381e-05,0.0,0.20985835787850485,0.0,0.0
3414260,0.0,0.0,0.000787390528297257,0.0,0.005544232337166215,0.013065713967849524,0.0017976654565514938,0.0,0.0,0.0,0.002478339121817661,0.001850299204800702,0.06531250384508558,0.0,0.007471276093311955,0.0,0.016103126602780012
3414267,0.010911571661771955,0.0005774021886976494,0.040055371581934694,0.00028371784936315816,0.0001318781139628176,0.0,0.00044922633315900613,0.19598448337309368,0.004055144331758539,0.0,0.0,0.00672731971130561,0.0,0.0,0.0,0.00020453683983213486,0.0
3414361,0.01834425526725352,0.0,0.1771661826885324,0.0,0.0,0.0,0.0,0.02875584452238401,0.005157186139625827,0.0,0.001541148797040413,0.0054786581361686145,0.0,0.0,0.0007162259581852365,0.0008358279532595432,0.0
3414401,0.008424839937167816,0.0,0.1303098641615367,0.0,0.010831062375994564,0.0004660281043959985,0.0,0.014360010451796832,0.0,0.000980503604344978,0.00888023414304913,0.0,0.0,0.0003129482723488843,0.0660964471585892,0.051368183874249206,0.0
3414435,0.0019672927846275065,0.0,0.12862635242316178,0.0009084167017582692,0.0,0.0,0.0,0.0,0.0,0.0,0.006977927173314573,0.0,0.0,0.0,0.0,0.0,0.0028349066550262627
3414439,0.0007132007880441152,0.0,0.2445814015582059,0.014014858506975925,0.0015404235674251197,0.0006117395291946906,0.0,0.004820655523642592,0.0,0.0,0.02852342258164715,0.015205494435304086,0.0,0.02979960947337131,0.03338187506016206,0.17597681270256693,0.0
3414443,0.00892546529099594,0.0,0.0011157927852931825,0.10575931515088323,0.0,0.0,0.01752119734643839,0.0,0.0,0.10147953085730814,0.0,0.02573822142508535,0.0,0.0,0.0017492418165347716,0.0045124651880395225,0.017200615789592116
