index,doc_id,High,Low,Lower-middle,Upper-middle,Health system demand,All-cause mortality,Respiratory,Chronic,Infectious disease,WASH,Food & nutrition,Maternal & child health,Mental health,Occupational health & injury
7287,3360035,0,0,1,0,0.0,0.0,0.09547541735767096,0.0,0.013814237871540779,0.000564187034795247,0.0010063746061570189,0.0,0.0013471456924248107,0.0
7288,3360107,1,0,0,0,0.009947101709316897,0.0,0.009482694323922581,0.0,0.009242956207087762,0.0,0.001362808607967478,0.08893164505387009,0.002509378105326886,0.0
7289,3360132,0,0,0,1,0.0,0.008037527071449151,0.06105685529704107,0.0027099464709358927,0.008470206197665099,0.0,0.0,0.0,0.0,0.0
7290,3360164,0,0,0,1,0.0,0.0,0.0,0.0016842617809137831,0.0,0.0,0.0,0.0,0.0,0.0
7291,3360169,1,0,0,0,0.16692204487979767,0.0,0.11772824821474914,0.0008931229097024516,0.005523575752135212,0.0,0.0,0.12286989539738709,0.0,0.0
7292,3360189,1,0,0,0,0.007259315370863273,0.0,0.0,0.0,0.19049469877690267,0.0,0.0,0.0,0.0,0.0
7293,3360246,1,0,0,0,0.031437925400083166,0.010001897780826876,0.004421066341581531,0.012294277381233355,0.05638254452011453,0.0,0.0,0.0011241387261763103,0.0,0.0
7294,3360262,1,0,0,1,0.03787940141287563,0.0,0.0,0.0,0.002733079622084534,0.0,0.0,0.0,0.0,0.0
7295,3360430,1,0,0,0,0.0,0.0,0.033593588941996856,0.04058936597502524,0.0,0.0,3.0014991249114004e-05,0.05636947177522134,0.00032759828733481866,0.006430416788532292
7296,3360437,0,0,0,1,0.04336094525857944,0.005153069730309931,0.009433063246272246,0.00092101155873994,0.0175877874948322,0.0,0.0,0.013003316862919419,0.0013992545853394346,0.0
7297,3360545,1,0,0,0,0.0,0.07812304624463007,0.05847309367139711,0.010811308507886206,0.0018517813535386455,0.0,0.0,0.00017661066092249304,0.0,0.0
7298,3360600,0,0,1,0,0.0009507084681468509,0.0,0.0,0.002158052851269914,0.1527424439755138,0.0013887343190359964,0.0,0.009329401413742763,0.0,0.0
7299,3360705,1,0,0,0,0.04995265179213935,0.007519954128529312,0.0016462813353619874,0.1818027922356772,0.0,0.0,0.0,0.004372359434561216,0.0024349166626472154,0.0009889327491301714
7300,3360775,1,0,0,0,0.008195816332284668,0.07818260070515493,0.0016885313783004585,0.0,0.0,0.0,0.0,0.0,0.0,0.0016564796946765192
7301,3360881,1,0,0,0,0.13709412297563234,0.011274276702368682,0.025835613376543314,0.005122503677393087,0.008592459951495527,0.0,0.0,0.004434439666880253,0.0,0.0
7302,3360905,1,0,0,0,0.02414910884135758,0.0,0.0,0.0,0.0,0.0,0.0028900368805626136,0.0,0.0,0.0
7303,3360963,0,0,0,1,0.0,0.0,0.0,0.0,0.027749724744807164,0.0,0.0,0.0,0.0,0.0
7304,3360969,1,0,0,0,0.09981461733031446,0.0,0.0,0.0,0.0007117627881178752,0.0,0.0,0.0,0.0,0.0018118848743912642
7305,3360985,1,0,0,0,0.006286631782336447,0.09170775663007628,0.024882597257267127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7306,3361133,0,0,1,0,0.08008086147830108,0.0,0.0,0.0,0.05776904243635204,0.0,0.0008400438732201963,0.0,0.0,0.0
7307,3361413,1,0,0,0,0.0004217379082787708,0.0004560193292882336,0.00014384801586039811,0.0,0.007829111436329573,0.0,0.0,0.07687645693537881,0.0005963135202456214,0.0018602742008451121
7308,3361720,0,0,0,1,0.006019597446580748,0.09553581294468164,0.004083160636694893,0.0,0.06924851228946836,0.0,0.0,0.0,0.0,0.0
7309,3361754,0,0,0,1,0.03827836557474507,0.0,0.0010993310418470706,0.06272776390713329,0.04257384337778335,0.0,0.0,0.0,0.0,0.0
7310,3361760,0,0,0,1,0.005457769788265211,0.0006117662694945234,0.0,0.008425040414786896,0.0016924366233632836,0.0,0.0,0.0,0.0029110231043732674,0.0
7311,3361762,0,0,0,1,0.19265425210321477,0.0026888764311664634,0.04072252784252085,0.0,0.0346912560496543,0.0,0.0,0.0,0.0,0.0
7312,3361776,1,0,0,0,0.1042605570792908,0.0,0.0002068917384945235,0.0012783592488370302,0.0004111067214586042,0.0,0.0,0.0005601919060344112,0.0014207157781566228,0.01704437199104756
7313,3361780,1,0,0,0,0.0,0.0,0.0008769430619535856,0.0,0.08193889369162005,0.0006090009526647476,0.0,0.0,0.0,0.0
7314,3361790,1,0,1,0,0.0,0.0,0.0,0.0,0.057687481661805484,0.0,0.0011813018192202952,0.003470708591018135,0.0,0.0
7315,3361791,0,0,0,1,0.062295952944708965,0.0015563741450040807,0.21107480229638748,0.08152046444407893,0.006935474481292439,0.0,0.0,0.0,0.0,0.0
7316,3361816,1,0,0,0,0.06908023990514764,0.012894919276595238,0.0,0.0571344611244838,0.026779781106877374,0.0,0.0,0.0,0.0,0.0
7317,3361823,0,1,0,0,0.0,0.0,0.03039534837238646,0.0,0.03320694697473589,0.0,0.0,0.0,0.0,0.0
7318,3361833,1,0,0,0,0.018632109620283763,0.01641088366412868,0.0010416857225596793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7319,3361838,1,0,0,0,0.20474295928579928,0.028538425044248732,0.005778129185501771,0.054444057431050616,0.045913960350132385,0.0,0.0,0.0,0.0,0.0
7320,3361939,0,1,0,0,0.0,0.0,0.004082833168483605,0.0,0.0005413072635758163,0.00112577831995176,0.011077774583850494,0.05092558586131711,0.0,0.0
7321,3362021,0,0,0,1,0.1468765746159052,0.0,0.0,0.0011415049326054707,0.0004473191953337781,0.0,0.0,0.0010123050377320105,0.0002968532278439068,0.0
7322,3362072,0,0,1,0,0.006665850145292905,0.0,0.0,0.0,0.0,0.0,0.0,0.11613799934611159,0.047295624958813835,0.0
7323,3362074,0,1,0,0,0.0,0.0,0.10186546625305616,0.0,0.0,0.002550238832827868,0.0,0.12647248745049963,0.0,0.0
7324,3362102,1,0,0,1,0.004535337603664552,0.00012385683522597553,0.0026706039750632503,0.0,0.0007474243914667882,0.0,0.0,0.2606174736266392,0.0,0.0
7325,3362117,0,0,0,1,0.0,0.010323870265304777,0.024893571551607693,0.032833167146829684,0.00010482389427684172,0.0,0.0,0.0,0.0,0.0
7326,3362221,0,0,0,1,0.009545282159017225,0.0,0.0,0.0,0.0016999634543818083,0.0001965312616525912,0.0,0.0,0.0,0.0011976861913841057
7327,3362245,1,0,0,0,0.0,0.0,0.0016363959812166632,0.0,0.14297187664358918,0.0,0.0,0.0,0.0022516766244628115,0.0
7328,3362440,0,0,0,1,0.00047540683075915764,0.0070986409973675495,0.01768479974653208,0.0,0.0002288352054147035,0.0,0.0,0.0,0.003360522271717896,0.0
7329,3363423,1,0,0,0,0.0014403987630167048,0.01268996665240965,0.0375029666963216,0.0,0.12277447253432675,0.0,0.0,0.014628211744127206,0.0,0.0
7330,3363567,0,0,0,1,0.013656280645583916,0.0,0.01291246656743965,0.002299333701905214,0.0014215939556308517,0.004530963803087841,0.0,0.0,0.0,0.0
7331,3363713,1,0,0,0,0.0,0.0014995604364415516,0.2348031551752033,0.0,0.00035105869481560204,0.0,0.0,0.0,0.0,0.0
7332,3363720,1,0,0,0,0.041828533877180996,0.0,0.0010422955280453066,0.0,0.0,0.0,0.0,0.0029579761545337705,0.0,0.0
7333,3363727,0,0,0,1,0.0,0.0,0.012701117976661867,0.0,0.022865635052819216,0.0,0.0,0.0,0.0,0.0
7334,3363730,1,0,0,0,0.01852339220750633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009981486760308227,0.002996049464185788
7335,3363732,1,0,0,0,0.005861400074130147,0.001232931616782071,0.0,0.0,0.011201023599137636,0.1555834224035788,0.0013691585585963214,0.0,0.0,0.0
